Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
1980,44 251 ,263 017 ,22 176 ,143 919 ,32 965 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,89 798 ,298 288 ,27 711 ,229 850 ,81 417 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,39 556 ,152 903 ,55 145 ,130 456 ,27 372 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,47 811 ,108 100 ,53 729 ,212 678 ,19 613 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,52 710 ,165 119 ,27 202 ,75 272 ,33 655 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,146 254 ,484 476 ,57 368 ,190 640 ,105 450 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,89 522 ,264 887 ,51 860 ,86 420 ,24 514 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,76 269 ,146 662 ,14 108 ,120 697 ,46 315 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,22 434 ,137 734 ,6 701 ,186 405 ,110 501 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,126 237 ,426 693 ,75 566 ,95 161 ,42 363 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,137 252 ,203 032 ,72 625 ,195 319 ,38 594 ,,,,,,,,,,,258.0,,,2118.0,,,,7341.0,444.0,,,,,1723.0,13742.0,
1991,182 486 ,260 318 ,10 130 ,99 860 ,13 046 ,,,511.0,,,,,,920.0,,69.0,,,3965.0,,,,2567.0,277.0,,,,,96.0,8081.0,
1992,57 011 ,105 277 ,16 593 ,105 692 ,71 410 ,,,5243.0,11131.0,,,,,4908.0,,8412.0,,769.0,2579.0,,,,43755.0,729.0,,,,,65.0,12232.0,
1993,49 963 ,89 267 ,16 698 ,203 749 ,54 049 ,,85.0,18164.0,20157.0,,,,,1493.0,,570.0,,274.0,3078.0,,,,8290.0,518.0,,,,,37.0,15393.0,
1994,77 323 ,437 635 ,24 995 ,136 334 ,57 908 ,,80.0,18100.0,7936.0,,,,,1114.0,,326.0,,279.0,6072.0,,,,9325.0,312.0,,,,,408.0,30828.0,
