Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
1980,2 349,7 190,5 040,11 963,1 207,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,6 730,10 878,5 173,14 503,1 159,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3 626,6 545,5 308,9 557,1 045,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4 539,4 791,4 659,7 956,968,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,7 356,7 203,5 672,8 482,1 284,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,8 441,12 238,6 249,18 664,1 442,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,5 036,7 570,4 353,9 398,1 082,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,7 705,8 679,3 043,11 972,1 266,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,6 131,9 247,2 837,13 588,1 898,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,21 896,20 811,6 763,9 669,1 284,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,10 745,12 913,5 881,14 477,1 322,,,,,,,,,,,604.0,,,179.0,,,,5756.0,131.0,,,,,257.0,1750.0,
1991,14 327,13 531,3 888,11 965,858,,,73.0,,,,,,1846.0,,225.0,,,247.0,,,,3528.0,42.0,,,,,152.0,1481.0,
1992,14 954,15 955,4 002,14 641,2 582,,,602.0,325.0,,,,,3012.0,,1510.0,,1180.0,182.0,,,,11858.0,187.0,,,,,86.0,2117.0,
1993,16 101,14 254,4 769,14 412,2 406,,112.0,1196.0,372.0,,,,,1694.0,,965.0,,634.0,187.0,,,,8821.0,159.0,,,,,83.0,2545.0,
1994,19 983,19 263,4 618,11 588,1 763,,105.0,667.0,181.0,,,,,1696.0,,763.0,,715.0,417.0,,,,10705.0,121.0,,366.0,,,86.0,3239.0,
1995,34 116,25 827,6 563,7 378,1 438,,54.0,114.0,109.0,,1331.0,,,1237.0,,582.0,,472.0,528.0,,,,7678.0,62.0,,254.0,,,96.0,1770.0,
1996,28 626,16 771,6 401,9 093,1 508,,26.0,246.0,305.0,,1421.0,,1475.0,1748.0,,1095.0,,894.0,220.0,,,,7923.0,72.0,,662.0,,,130.0,1645.0,
1997,23 497,22 320,8 005,11 612,2 273,,42.0,200.0,305.0,,1398.0,,1585.0,1467.0,,768.0,,565.0,391.0,,,,6817.0,37.0,,535.0,,,179.0,1569.0,
1998,34 676,22 446,6 289,9 540,1 842,,71.0,578.0,441.0,,2563.0,,370.0,1032.0,,357.0,,258.0,416.0,,,,6165.0,59.0,,1056.0,,2503.0,121.0,1932.0,
1999,25 477,18 237,4 960,6 932,1 486,,16.0,320.0,223.0,,1402.0,,1528.0,1178.0,229.0,1196.0,,1022.0,385.0,,,,9820.0,138.0,,426.0,,4707.0,50.0,2075.0,
2000,34 109,24 118,4 603,8 595,2 581,,42.0,1710.0,706.0,285.0,1499.0,158.0,826.0,1210.0,811.0,915.0,,654.0,321.0,,,,12426.0,688.0,,824.0,,4708.0,70.0,2555.0,
2001,28 915,19 547,4 309,7 134,2 535,,54.0,825.0,299.0,299.0,483.0,91.0,822.0,587.0,419.0,272.0,,287.0,327.0,,,117.0,4480.0,268.0,,311.0,,4831.0,67.0,2631.0,
2002,28 993,19 929,4 097,4 601,1 141,,108.0,402.0,176.0,243.0,604.0,356.0,2546.0,513.0,382.0,1720.0,,1596.0,202.0,,,213.0,10101.0,516.0,,570.0,60.0,6490.0,117.0,1471.0,
2003,28 087,18 616,7 023,9 697,1 452,,238.0,452.0,532.0,427.0,1754.0,111.0,1734.0,2524.0,375.0,900.0,,885.0,392.0,,,198.0,17087.0,203.0,,872.0,224.0,8282.0,304.0,2177.0,
2004,27 829,21 396,3 775,6 428,1 748,,72.0,294.0,204.0,221.0,873.0,89.0,816.0,626.0,104.0,647.0,,468.0,714.0,,,119.0,7006.0,34.0,,153.0,51.0,4955.0,94.0,1762.0,
2005,41 689,25 492,4 698,7 951,1 544,,85.0,241.0,147.0,185.0,619.0,65.0,1069.0,496.0,150.0,365.0,,301.0,662.0,,,122.0,12049.0,64.0,,287.0,73.0,4573.0,110.0,1530.0,
2006,24 243,16 354,3 231,5 634,1 417,,133.0,393.0,181.0,172.0,697.0,248.0,3046.0,930.0,97.0,1929.0,,1545.0,381.0,,,205.0,11541.0,105.0,,237.0,112.0,4618.0,110.0,2227.0,
2007,25 133,10 936,2 690,10 639,1 983,,256.0,1479.0,345.0,111.0,805.0,64.0,1204.0,779.0,603.0,425.0,,251.0,340.0,,652.0,65.0,8302.0,478.0,,463.0,140.0,3737.0,120.0,2829.0,5024.0
2008,18 958,11 655,1 801,6 486,1 481,,185.0,582.0,275.0,114.0,470.0,71.0,1456.0,818.0,502.0,700.0,,301.0,273.0,,573.0,171.0,9090.0,91.0,,182.0,74.0,5420.0,63.0,2135.0,3231.0
2009,29 783,15 643,3 012,5 422,1 063,,138.0,314.0,181.0,91.0,514.0,47.0,1242.0,763.0,608.0,823.0,,471.0,501.0,,80.0,109.0,9162.0,190.0,67.0,347.0,120.0,4180.0,103.0,1793.0,4922.0
2010,26 113,11 721,2 443,4 884,1 052,,144.0,222.0,131.0,133.0,732.0,30.0,1412.0,780.0,109.0,316.0,,104.0,629.0,,99.0,62.0,4680.0,70.0,3.0,127.0,32.0,3120.0,88.0,1861.0,2368.0
2011,29 782,16 414,2 774,8 181,1 613,2487.0,267.0,635.0,280.0,85.0,1337.0,24.0,1215.0,888.0,2021.0,360.0,,142.0,606.0,,523.0,49.0,8172.0,340.0,211.0,303.0,114.0,3534.0,114.0,1954.0,1761.0
2012,25 352,17 503,2 763,8 252,1 559,5110.0,259.0,876.0,569.0,78.0,1549.0,5.0,417.0,701.0,2657.0,162.0,,81.0,484.0,,483.0,24.0,9265.0,911.0,318.0,513.0,168.0,2213.0,75.0,2450.0,1743.0
