year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
2003,POL,Poland,21551.0,17087,HIGH,1.26,2000,0.282,wildfire,Northern/Eastern Europe,"In 2003, Poland recorded 17087 forest fires burning 21551 hectares. Severity: HIGH. Average fire size: 1.26 ha. Risk score: 0.282. This was a high severity wildfire event in 2000s Europe."
2024,PRT,Portugal,137651.0,6255,EXTREME,22.01,2020,0.263,wildfire,Southern Europe,"In 2024, Portugal recorded 6255 forest fires burning 137651 hectares. Severity: EXTREME. Average fire size: 22.01 ha. Risk score: 0.263. This was a extreme severity wildfire event in 2020s Europe."
1992,POL,Poland,43755.0,11858,HIGH,3.69,1990,0.231,wildfire,Northern/Eastern Europe,"In 1992, Poland recorded 11858 forest fires burning 43755 hectares. Severity: HIGH. Average fire size: 3.69 ha. Risk score: 0.231. This was a high severity wildfire event in 1990s Europe."
2021,TUR,Turkey,139503.0,2793,EXTREME,49.95,2020,0.219,wildfire,Southern Europe,"In 2021, Turkey recorded 2793 forest fires burning 139503 hectares. Severity: EXTREME. Average fire size: 49.95 ha. Risk score: 0.219. This was a extreme severity wildfire event in 2020s Europe."
2012,DZA,Algeria,99061.0,5110,HIGH,19.39,2010,0.199,wildfire,Southern Europe,"In 2012, Algeria recorded 5110 forest fires burning 99061 hectares. Severity: HIGH. Average fire size: 19.39 ha. Risk score: 0.199. This was a high severity wildfire event in 2010s Europe."
2000,POL,Poland,7089.0,12426,MEDIUM,0.57,2000,0.195,wildfire,Northern/Eastern Europe,"In 2000, Poland recorded 12426 forest fires burning 7089 hectares. Severity: MEDIUM. Average fire size: 0.57 ha. Risk score: 0.195. This was a medium severity wildfire event in 2000s Europe."
2015,POL,Poland,5510.0,12257,MEDIUM,0.45,2010,0.191,wildfire,Northern/Eastern Europe,"In 2015, Poland recorded 12257 forest fires burning 5510 hectares. Severity: MEDIUM. Average fire size: 0.45 ha. Risk score: 0.191. This was a medium severity wildfire event in 2010s Europe."
2005,POL,Poland,5713.0,12049,MEDIUM,0.47,2000,0.188,wildfire,Northern/Eastern Europe,"In 2005, Poland recorded 12049 forest fires burning 5713 hectares. Severity: MEDIUM. Average fire size: 0.47 ha. Risk score: 0.188. This was a medium severity wildfire event in 2000s Europe."
2006,POL,Poland,5657.0,11541,MEDIUM,0.49,2000,0.18,wildfire,Northern/Eastern Europe,"In 2006, Poland recorded 11541 forest fires burning 5657 hectares. Severity: MEDIUM. Average fire size: 0.49 ha. Risk score: 0.18. This was a medium severity wildfire event in 2000s Europe."
1994,POL,Poland,9325.0,10705,MEDIUM,0.87,1990,0.172,wildfire,Northern/Eastern Europe,"In 1994, Poland recorded 10705 forest fires burning 9325 hectares. Severity: MEDIUM. Average fire size: 0.87 ha. Risk score: 0.172. This was a medium severity wildfire event in 1990s Europe."
