year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade
1983,GRC,Greece,0.0,968,LOW,0.0,1980
1990,TUR,Turkey,13742.0,1750,MEDIUM,7.85,1990
1990,POL,Poland,7341.0,5756,MEDIUM,1.28,1990
1990,MAR,Morocco,2118.0,179,LOW,11.83,1990
1990,CHE,Switzerland,1723.0,257,LOW,6.7,1990
1990,ROU,Romania,444.0,131,LOW,3.39,1990
1990,LVA,Latvia,258.0,604,LOW,0.43,1990
1991,TUR,Turkey,8081.0,1481,MEDIUM,5.46,1990
1991,MAR,Morocco,3965.0,247,LOW,16.05,1990
1991,POL,Poland,2567.0,3528,LOW,0.73,1990
1991,DEU,Germany,920.0,1846,LOW,0.5,1990
1991,BGR,Bulgaria,511.0,73,LOW,7.0,1990
1991,ROU,Romania,277.0,42,LOW,6.6,1990
1991,CHE,Switzerland,96.0,152,LOW,0.63,1990
1991,LVA,Latvia,69.0,225,LOW,0.31,1990
1991,GRC,Greece,0.0,858,LOW,0.0,1990
1992,POL,Poland,43755.0,11858,HIGH,3.69,1990
1992,TUR,Turkey,12232.0,2117,MEDIUM,5.78,1990
1992,HRV,Croatia,11131.0,325,MEDIUM,34.25,1990
1992,LVA,Latvia,8412.0,1510,MEDIUM,5.57,1990
1992,BGR,Bulgaria,5243.0,602,MEDIUM,8.71,1990
1992,DEU,Germany,4908.0,3012,LOW,1.63,1990
1992,MAR,Morocco,2579.0,182,LOW,14.17,1990
1992,LTU,Lithuania,769.0,1180,LOW,0.65,1990
1992,ROU,Romania,729.0,187,LOW,3.9,1990
1992,CHE,Switzerland,65.0,86,LOW,0.76,1990
1993,HRV,Croatia,20157.0,372,HIGH,54.19,1990
1993,BGR,Bulgaria,18164.0,1196,MEDIUM,15.19,1990
1993,TUR,Turkey,15393.0,2545,MEDIUM,6.05,1990
1993,POL,Poland,8290.0,8821,MEDIUM,0.94,1990
1993,MAR,Morocco,3078.0,187,LOW,16.46,1990
1993,DEU,Germany,1493.0,1694,LOW,0.88,1990
1993,LVA,Latvia,570.0,965,LOW,0.59,1990
1993,ROU,Romania,518.0,159,LOW,3.26,1990
1993,LTU,Lithuania,274.0,634,LOW,0.43,1990
1993,AUT,Austria,85.0,112,LOW,0.76,1990
1993,CHE,Switzerland,37.0,83,LOW,0.45,1990
1994,TUR,Turkey,30828.0,3239,HIGH,9.52,1990
1994,BGR,Bulgaria,18100.0,667,MEDIUM,27.14,1990
1994,POL,Poland,9325.0,10705,MEDIUM,0.87,1990
1994,HRV,Croatia,7936.0,181,MEDIUM,43.85,1990
1994,MAR,Morocco,6072.0,417,MEDIUM,14.56,1990
1994,DEU,Germany,1114.0,1696,LOW,0.66,1990
1994,CHE,Switzerland,408.0,86,LOW,4.74,1990
1994,LVA,Latvia,326.0,763,LOW,0.43,1990
1994,ROU,Romania,312.0,121,LOW,2.58,1990
1994,LTU,Lithuania,279.0,715,LOW,0.39,1990
1994,AUT,Austria,80.0,105,LOW,0.76,1990
1994,SVK,Slovakia,0.0,366,LOW,0.0,1990
1995,TUR,Turkey,7676.0,1770,MEDIUM,4.34,1990
1995,MAR,Morocco,7018.0,528,MEDIUM,13.29,1990
1995,POL,Poland,5403.0,7678,MEDIUM,0.7,1990
1995,HRV,Croatia,4651.0,109,LOW,42.67,1990
1995,DEU,Germany,592.0,1237,LOW,0.48,1990
1995,BGR,Bulgaria,550.0,114,LOW,4.82,1990
1995,LVA,Latvia,535.0,582,LOW,0.92,1990
1995,CHE,Switzerland,446.0,96,LOW,4.65,1990
1995,CZE,Czech Republic,403.0,1331,LOW,0.3,1990
1995,LTU,Lithuania,321.0,472,LOW,0.68,1990
1995,ROU,Romania,208.0,62,LOW,3.35,1990
1995,AUT,Austria,43.0,54,LOW,0.8,1990
1995,SVK,Slovakia,0.0,254,LOW,0.0,1990
1996,TUR,Turkey,14922.0,1645,MEDIUM,9.07,1990
1996,POL,Poland,14537.0,7923,MEDIUM,1.83,1990
1996,HRV,Croatia,11214.0,305,MEDIUM,36.77,1990
1996,CZE,Czech Republic,2043.0,1421,LOW,1.44,1990
1996,DEU,Germany,1381.0,1748,LOW,0.79,1990
1996,MAR,Morocco,1185.0,220,LOW,5.39,1990
1996,LVA,Latvia,927.0,1095,LOW,0.85,1990
1996,BGR,Bulgaria,906.0,246,LOW,3.68,1990
1996,LTU,Lithuania,478.0,894,LOW,0.53,1990
1996,FIN,Finland,433.0,1475,LOW,0.29,1990
1996,CHE,Switzerland,293.0,130,LOW,2.25,1990
1996,ROU,Romania,227.0,72,LOW,3.15,1990
1996,AUT,Austria,8.0,26,LOW,0.31,1990
1996,SVK,Slovakia,0.0,662,LOW,0.0,1990
1997,HRV,Croatia,11122.0,305,MEDIUM,36.47,1990
1997,POL,Poland,6766.0,6817,MEDIUM,0.99,1990
1997,TUR,Turkey,6517.0,1569,MEDIUM,4.15,1990
1997,MAR,Morocco,3845.0,391,LOW,9.83,1990
1997,CHE,Switzerland,1785.0,179,LOW,9.97,1990
1997,FIN,Finland,1146.0,1585,LOW,0.72,1990
1997,DEU,Germany,599.0,1467,LOW,0.41,1990
1997,BGR,Bulgaria,595.0,200,LOW,2.98,1990
